serial,name,county,school,batch,detail-link
014343-4,勤樸勵學樓,新北市,市立安康高中,107年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014343&bid=4&blank
014347-1,大勇樓,新北市,市立雙溪高中,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014347&bid=1&blank
014347-2,大智樓,新北市,市立雙溪高中,98年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014347&bid=2&blank
014347-3,活動中心,新北市,市立雙溪高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014347&bid=3&blank
014347-5,教學大樓,新北市,市立雙溪高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014347&bid=5&blank
014348-2,至誠樓,新北市,市立石碇高中,104年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014348&bid=2&blank
014348-4,茶葉體驗教室,新北市,市立石碇高中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014348&bid=4&blank
014356-5,至真樓(一),新北市,市立清水高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014356&bid=5&blank
014356-6,至真樓(二),新北市,市立清水高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014356&bid=6&blank
014356-8,至美樓(一),新北市,市立清水高中,108年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014356&bid=8&blank
014356-10,至美樓(三),新北市,市立清水高中,108年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014356&bid=10&blank
014356-11,至美樓(四),新北市,市立清水高中,108年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014356&bid=11&blank
014356-13,至善樓,新北市,市立清水高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014356&bid=13&blank
014357-4,六藝樓,新北市,市立三民高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014357&bid=4&blank
014357-6,八德樓,新北市,市立三民高中,105年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014357&bid=6&blank
014357-7,四維樓,新北市,市立三民高中,108年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014357&bid=7&blank
014357-8,三民樓,新北市,市立三民高中,106年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014357&bid=8&blank
014357-10,齊賢樓,新北市,市立三民高中,107年資本門,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014357&bid=10&blank
014501-1,自強2,新北市,市立板橋國中,106年自籌,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014501&bid=1&blank
014501-2,自強3,新北市,市立板橋國中,106年自籌,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014501&bid=2&blank
014501-3,信義,新北市,市立板橋國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014501&bid=3&blank
014501-4,四維1,新北市,市立板橋國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014501&bid=4&blank
014501-5,仁愛1,新北市,市立板橋國中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014501&bid=5&blank
014501-9,忠孝1,新北市,市立板橋國中,105年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014501&bid=9&blank
014501-12,仁愛2,新北市,市立板橋國中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014501&bid=12&blank
014503-1,仁愛樓一,新北市,市立重慶國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=1&blank
014503-2,仁愛樓二,新北市,市立重慶國中,102年自籌,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=2&blank
014503-3,仁愛樓三,新北市,市立重慶國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=3&blank
014503-4,仁愛樓四,新北市,市立重慶國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=4&blank
014503-5,仁愛樓五,新北市,市立重慶國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=5&blank
014503-6,和平樓一,新北市,市立重慶國中,104年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=6&blank
014503-7,忠孝樓一,新北市,市立重慶國中,103年自籌,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=7&blank
014503-8,忠孝樓二,新北市,市立重慶國中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=8&blank
014503-11,活動中心,新北市,市立重慶國中,104年5批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=11&blank
014503-13,信義樓,新北市,市立重慶國中,104年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=13&blank
014503-14,和平樓二,新北市,市立重慶國中,105年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014503&bid=14&blank
014504-1,後棟,新北市,市立江翠國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014504&bid=1&blank
014504-2,前棟-1,新北市,市立江翠國中,105年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014504&bid=2&blank
014504-5,行政大樓,新北市,市立江翠國中,108年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014504&bid=5&blank
014504-6,前棟,新北市,市立江翠國中,105年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014504&bid=6&blank
014504-7,前棟-2,新北市,市立江翠國中,104年8批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014504&bid=7&blank
014505-1,至善至美樓,新北市,市立中山國中,108年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014505&bid=1&blank
014505-2,六藝樓,新北市,市立中山國中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014505&bid=2&blank
014505-3,活動中心,新北市,市立中山國中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014505&bid=3&blank
014505-4,至真圖書館,新北市,市立中山國中,105年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014505&bid=4&blank
014505-5,多功能教室,新北市,市立中山國中,108年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014505&bid=5&blank
014506-1,和平樓,新北市,市立新埔國中,99年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014506&bid=1&blank
014506-2,仁愛樓,新北市,市立新埔國中,104年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014506&bid=2&blank
014506-3,忠孝樓,新北市,市立新埔國中,106年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014506&bid=3&blank
014506-4,信義樓,新北市,市立新埔國中,105年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014506&bid=4&blank
014506-5,誠正樓,新北市,市立新埔國中,103年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014506&bid=5&blank
014506-6,懷恩樓,新北市,市立新埔國中,105年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014506&bid=6&blank
014507-1,科學樓,新北市,市立新莊國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014507&bid=1&blank
014507-2,自強樓,新北市,市立新莊國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014507&bid=2&blank
014507-3,莊敬樓,新北市,市立新莊國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014507&bid=3&blank
014507-4,思源樓,新北市,市立新莊國中,99年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014507&bid=4&blank
014507-5,中正樓東棟,新北市,市立新莊國中,99年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014507&bid=5&blank
014507-6,力行樓,新北市,市立新莊國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014507&bid=6&blank
014507-9,中正樓西棟,新北市,市立新莊國中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014507&bid=9&blank
014507-10,弘道樓A棟,新北市,市立新莊國中,103年自籌,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014507&bid=10&blank
014508-3,中正大樓,新北市,市立新泰國中,101年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014508&bid=3&blank
014508-4,天祥大樓,新北市,市立新泰國中,101年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014508&bid=4&blank
014508-5,行政前大樓及後大樓,新北市,市立新泰國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014508&bid=5&blank
014508-6,陽明大樓A,新北市,市立新泰國中,105年4批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014508&bid=6&blank
014508-7,科學大樓,新北市,市立新泰國中,103年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014508&bid=7&blank
014508-8,岳飛大樓,新北市,市立新泰國中,103年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014508&bid=8&blank
014508-11,吳鳳大樓,新北市,市立新泰國中,105年3批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014508&bid=11&blank
014509-2,仁愛及信義樓,新北市,市立福營國中,108年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014509&bid=2&blank
014509-3,行政樓,新北市,市立福營國中,106年一般,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014509&bid=3&blank
014509-5,和平樓,新北市,市立福營國中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014509&bid=5&blank
014510-1,至美樓,新北市,市立頭前國中,102年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014510&bid=1&blank
014510-3,至善至真樓,新北市,市立頭前國中,100年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014510&bid=3&blank
014510-4,大勇樓,新北市,市立頭前國中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014510&bid=4&blank
014510-5,聽濤樓,新北市,市立頭前國中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014510&bid=5&blank
014510-7,專科教室A,新北市,市立頭前國中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014510&bid=7&blank
014512-1,光藝樓,新北市,市立光榮國中,99年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014512&bid=1&blank
014512-3,光榮樓東棟,新北市,市立光榮國中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014512&bid=3&blank
014512-4,光榮樓西棟,新北市,市立光榮國中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014512&bid=4&blank
014512-5,光華樓,新北市,市立光榮國中,106年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014512&bid=5&blank
014512-6,光興樓,新北市,市立光榮國中,105年自籌,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014512&bid=6&blank
014513-1,忠孝樓 C,新北市,市立明志國中,107年1批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014513&bid=1&blank
014513-3,仁愛樓 B,新北市,市立明志國中,105年2批,https://school.ncree.org.tw/school/control/building/construction-summary1.php?sid=014513&bid=3&blank
